                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.4841,                0.31046,                0.93588,                0.98874,                0.95165,                0.97394,                0.87432,                0.52716,                0.32316,                0.91291,               0.067524,             0.00032804,             0.00032804
                      2,                0.50604,                0.31096,                0.93821,                0.97536,                0.91626,                0.96367,                0.86363,                0.57466,                0.36603,                0.94598,               0.034517,             0.00065483,             0.00065483
                      3,                0.53044,                0.31863,                0.94802,                0.98027,                0.95254,                0.96795,                   0.85,                0.59104,                0.33936,                0.96373,              0.0015041,             0.00097501,             0.00097501
                      4,                 0.5388,                0.32314,                 0.9514,                0.98053,                 0.9586,                0.97235,                0.85201,                0.59509,                0.36494,                0.95555,              0.0009703,              0.0009703,              0.0009703
                      5,                0.53149,                0.31854,                0.94812,                0.96649,                0.93314,                0.96272,                0.84242,                0.62403,                0.36893,                0.96832,              0.0009703,              0.0009703,              0.0009703
                      6,                 0.5315,                0.32408,                 0.9531,                0.96296,                0.94094,                0.96037,                0.84997,                 0.5838,                 0.3493,                0.95843,              0.0009604,              0.0009604,              0.0009604
                      7,                0.52897,                0.31864,                0.95019,                0.97417,                0.92345,                0.95426,                0.84154,                 0.5672,                0.37245,                0.94834,              0.0009505,              0.0009505,              0.0009505
                      8,                0.50983,                0.30985,                0.93978,                0.98215,                0.91148,                0.96202,                0.84564,                0.59107,                0.37258,                0.95592,              0.0009406,              0.0009406,              0.0009406
                      9,                0.52534,                0.31783,                0.95133,                0.97403,                0.94937,                0.96875,                0.85008,                0.60491,                0.36727,                0.96277,              0.0009307,              0.0009307,              0.0009307
                     10,                0.52074,                0.32541,                 0.9512,                0.98945,                 0.9311,                0.96657,                0.84403,                0.62976,                0.37195,                0.97891,              0.0009208,              0.0009208,              0.0009208
                     11,                0.52372,                 0.3212,                0.95631,                0.94988,                0.94411,                0.96079,                0.81613,                0.69303,                0.40171,                0.99051,              0.0009109,              0.0009109,              0.0009109
                     12,                0.51743,                0.32513,                0.94474,                0.98564,                0.93877,                0.97194,                0.87408,                0.54682,                0.36197,                0.92489,               0.000901,               0.000901,               0.000901
                     13,                0.50967,                0.31724,                0.94425,                 0.9828,                0.94347,                 0.9648,                0.85743,                0.58588,                0.37586,                 0.9512,              0.0008911,              0.0008911,              0.0008911
                     14,                0.50624,                0.31822,                0.94645,                0.96962,                0.96183,                0.97622,                0.86911,                0.54338,                0.35041,                0.92989,              0.0008812,              0.0008812,              0.0008812
                     15,                0.49922,                0.30938,                0.94051,                0.96231,                0.92523,                0.95525,                0.84549,                0.57266,                0.38312,                0.95619,              0.0008713,              0.0008713,              0.0008713
                     16,                0.50422,                0.31106,                0.94144,                0.99148,                0.95473,                0.97524,                 0.8603,                 0.5812,                0.34867,                0.94479,              0.0008614,              0.0008614,              0.0008614
                     17,                0.50937,                0.31094,                0.94128,                0.98657,                0.94865,                0.97142,                0.85567,                0.56419,                0.34835,                0.94373,              0.0008515,              0.0008515,              0.0008515
                     18,                0.51226,                0.31459,                0.94529,                0.95908,                0.92731,                0.96632,                 0.8603,                0.54862,                0.36338,                0.92791,              0.0008416,              0.0008416,              0.0008416
                     19,                0.50397,                0.31775,                0.94627,                0.98295,                0.94312,                0.97309,                0.85563,                0.56417,                0.35539,                0.94407,              0.0008317,              0.0008317,              0.0008317
                     20,                0.49193,                0.30191,                0.93486,                0.97759,                 0.9519,                0.97619,                0.87669,                0.54864,                0.34822,                0.93529,              0.0008218,              0.0008218,              0.0008218
                     21,                0.50542,                0.31743,                0.94114,                  0.971,                0.93636,                0.97118,                0.86212,                0.56151,                0.37259,                0.93487,              0.0008119,              0.0008119,              0.0008119
                     22,                0.49868,                0.31067,                0.93687,                0.99134,                0.95318,                0.97699,                0.85499,                0.58377,                0.34665,                0.94216,               0.000802,               0.000802,               0.000802
                     23,                 0.4791,                0.29996,                0.93118,                0.93677,                0.92311,                0.96178,                0.84997,                0.59405,                0.37747,                0.95974,              0.0007921,              0.0007921,              0.0007921
                     24,                 0.4787,                0.29872,                0.92464,                0.95823,                0.92882,                 0.9681,                0.86346,                 0.5693,                0.35689,                0.94462,              0.0007822,              0.0007822,              0.0007822
                     25,                0.49719,                0.30534,                0.93995,                 0.9888,                0.97234,                0.98316,                0.86586,                0.56656,                0.31719,                0.93329,              0.0007723,              0.0007723,              0.0007723
                     26,                0.49062,                0.30326,                0.93582,                0.97077,                0.93287,                0.96539,                0.86552,                0.54098,                 0.3392,                0.92873,              0.0007624,              0.0007624,              0.0007624
                     27,                0.48987,                0.30486,                0.93598,                0.98098,                0.94035,                0.97121,                0.86332,                0.56573,                0.34096,                0.94137,              0.0007525,              0.0007525,              0.0007525
                     28,                 0.4807,                0.29778,                0.92886,                0.99165,                0.97368,                0.97799,                0.87767,                0.53164,                0.31636,                0.92431,              0.0007426,              0.0007426,              0.0007426
                     29,                0.48742,                0.29836,                0.93181,                0.96073,                0.93171,                 0.9741,                0.86313,                0.54961,                0.36582,                0.93318,              0.0007327,              0.0007327,              0.0007327
                     30,                0.48482,                 0.2973,                0.93443,                0.97957,                0.93617,                 0.9701,                0.86271,                0.55553,                0.33965,                0.93781,              0.0007228,              0.0007228,              0.0007228
