                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49236,                0.32209,                0.94039,                0.90346,                0.91012,                0.95366,                0.85152,                0.55717,                0.40388,                0.94798,               0.067524,             0.00032804,             0.00032804
                      2,                0.48504,                 0.3056,                0.93432,                0.96861,                0.95548,                 0.9736,                0.86749,                0.55284,                0.34703,                0.93343,               0.034517,             0.00065483,             0.00065483
                      3,                0.49029,                0.30728,                0.93609,                0.97851,                0.95176,                0.97286,                0.86375,                0.56412,                0.34735,                0.94147,              0.0015041,             0.00097501,             0.00097501
                      4,                0.49606,                0.31523,                0.93937,                0.98483,                0.96927,                0.97928,                0.86536,                0.56285,                0.32193,                0.93042,              0.0009703,              0.0009703,              0.0009703
                      5,                0.50025,                0.31759,                0.93937,                0.95453,                0.95536,                0.97255,                0.86696,                0.55068,                 0.3659,                0.92968,              0.0009703,              0.0009703,              0.0009703
                      6,                0.49878,                0.31506,                0.94026,                0.96304,                0.94027,                0.96096,                 0.8586,                 0.5503,                0.35318,                0.93341,              0.0009604,              0.0009604,              0.0009604
                      7,                0.49094,                0.30761,                0.93454,                0.98532,                0.97212,                 0.9782,                0.86587,                0.55293,                 0.3376,                0.93107,              0.0009505,              0.0009505,              0.0009505
                      8,                0.48194,                0.30628,                0.93144,                0.95787,                0.91092,                0.94853,                0.84934,                0.56979,                0.38667,                0.94859,              0.0009406,              0.0009406,              0.0009406
                      9,                 0.5007,                0.31363,                0.94159,                0.98612,                0.93416,                0.97141,                0.85567,                0.57124,                0.35318,                0.92992,              0.0009307,              0.0009307,              0.0009307
                     10,                 0.4892,                0.31439,                0.93827,                0.97247,                0.95846,                0.97191,                0.86552,                0.56284,                0.35438,                0.92611,              0.0009208,              0.0009208,              0.0009208
                     11,                0.48205,                0.30238,                 0.9354,                0.97225,                0.96747,                0.97659,                0.85978,                 0.5653,                0.35153,                0.92732,              0.0009109,              0.0009109,              0.0009109
                     12,                0.46771,                0.30289,                0.92882,                0.97452,                0.96299,                0.97724,                0.86615,                0.56772,                0.35456,                0.93366,               0.000901,               0.000901,               0.000901
                     13,                 0.4768,                0.30546,                0.93245,                0.95493,                0.94054,                0.97023,                0.84835,                0.59021,                0.38652,                0.94321,              0.0008911,              0.0008911,              0.0008911
                     14,                0.49204,                0.31006,                0.93873,                0.91045,                0.88763,                0.93817,                0.81621,                0.62129,                0.43608,                0.97515,              0.0008812,              0.0008812,              0.0008812
                     15,                0.46792,                0.30193,                0.93083,                0.96458,                0.95568,                0.97309,                0.86722,                0.54478,                0.34794,                0.93002,              0.0008713,              0.0008713,              0.0008713
                     16,                0.47517,                0.30513,                0.92989,                0.94968,                0.92436,                0.96155,                 0.8463,                0.58821,                0.38554,                0.95017,              0.0008614,              0.0008614,              0.0008614
                     17,                0.47009,                0.29952,                0.92725,                0.98386,                0.96211,                0.98003,                0.86858,                0.55529,                0.32836,                0.94107,              0.0008515,              0.0008515,              0.0008515
                     18,                0.48089,                0.30394,                0.93422,                0.90338,                0.94223,                 0.9552,                0.84864,                0.59016,                0.38683,                0.94915,              0.0008416,              0.0008416,              0.0008416
                     19,                0.47919,                0.30303,                0.93834,                0.97144,                0.96798,                0.97511,                0.84809,                0.58551,                0.35631,                0.93539,              0.0008317,              0.0008317,              0.0008317
                     20,                0.47475,                0.29597,                0.92581,                0.98808,                 0.9473,                0.97756,                 0.8584,                0.57083,                0.34241,                  0.938,              0.0008218,              0.0008218,              0.0008218
                     21,                0.48862,                 0.3086,                 0.9347,                0.97505,                0.94844,                0.97438,                0.87467,                0.54728,                0.35876,                0.93698,              0.0008119,              0.0008119,              0.0008119
                     22,                0.47462,                0.30384,                0.92874,                0.95053,                0.93097,                0.96868,                0.85971,                0.56839,                0.35822,                0.94948,               0.000802,               0.000802,               0.000802
                     23,                0.46601,                0.29706,                0.92808,                 0.9509,                0.93284,                0.96704,                0.85129,                0.59097,                0.36395,                0.95675,              0.0007921,              0.0007921,              0.0007921
                     24,                0.45936,                0.29147,                0.91776,                 0.9736,                0.94532,                0.96863,                0.86492,                0.56153,                 0.3487,                0.94686,              0.0007822,              0.0007822,              0.0007822
                     25,                0.47065,                0.29594,                0.92818,                0.96784,                0.94428,                0.97563,                0.86635,                0.55565,                0.34772,                0.93303,              0.0007723,              0.0007723,              0.0007723
                     26,                0.46338,                0.29169,                0.92569,                0.97412,                0.95249,                0.96652,                0.86474,                0.55981,                 0.3237,                0.94804,              0.0007624,              0.0007624,              0.0007624
                     27,                0.46633,                0.29637,                0.92931,                0.97196,                0.94333,                 0.9698,                0.86066,                0.57673,                0.35764,                 0.9556,              0.0007525,              0.0007525,              0.0007525
                     28,                 0.4606,                0.29366,                0.92178,                0.95199,                0.94314,                0.96811,                0.86668,                0.54275,                0.35189,                0.93475,              0.0007426,              0.0007426,              0.0007426
                     29,                  0.461,                0.29204,                0.92194,                 0.9814,                 0.9424,                0.97694,                0.86824,                 0.5504,                0.33792,                 0.9283,              0.0007327,              0.0007327,              0.0007327
                     30,                0.46859,                0.29109,                0.92801,                0.97959,                0.93409,                0.97605,                0.87331,                0.54292,                0.33015,                0.92682,              0.0007228,              0.0007228,              0.0007228
                     31,                0.46604,                0.29442,                0.92155,                0.96546,                0.93104,                0.97203,                0.87075,                0.55132,                0.35759,                0.93056,              0.0007129,              0.0007129,              0.0007129
                     32,                 0.4578,                0.29042,                0.92116,                0.98805,                0.96677,                0.97931,                0.87019,                0.55902,                0.31961,                0.93436,               0.000703,               0.000703,               0.000703
                     33,                0.45409,                0.28229,                0.92216,                0.93457,                0.93466,                0.96996,                0.86536,                 0.5528,                0.36295,                 0.9324,              0.0006931,              0.0006931,              0.0006931
