                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.46713,                0.30685,                0.92763,                0.96546,                0.94631,                0.96826,                0.87458,                0.54097,                0.36144,                 0.9324,               0.070476,              0.0032804,              0.0032804
                      2,                0.52265,                0.34757,                0.93775,                0.97968,                 0.9697,                0.97684,                 0.8605,                0.55566,                 0.4101,                0.92582,               0.040411,              0.0065483,              0.0065483
                      3,                0.57357,                0.38225,                0.95493,                0.96503,                0.95515,                0.97125,                0.84343,                0.63548,                0.45634,                0.97222,               0.010279,              0.0097501,              0.0097501
                      4,                0.59022,                0.39606,                0.96596,                0.93064,                0.86625,                0.90584,                0.72696,                0.80543,                0.63974,                 1.0853,               0.009703,               0.009703,               0.009703
                      5,                0.57996,                 0.3894,                0.96596,                 0.9806,                0.96188,                0.96823,                0.83191,                0.61504,                0.43993,                0.95134,               0.009703,               0.009703,               0.009703
                      6,                0.57275,                0.38802,                0.96367,                0.96027,                 0.9482,                0.96236,                0.85579,                0.57457,                0.40745,                0.96561,               0.009604,               0.009604,               0.009604
                      7,                0.56695,                0.37998,                0.96285,                0.95647,                0.92981,                0.96039,                0.84914,                0.58668,                0.41585,                0.97728,               0.009505,               0.009505,               0.009505
                      8,                0.54888,                0.37104,                0.95476,                0.97023,                 0.9461,                0.96493,                0.84269,                0.60111,                0.43485,                0.97715,               0.009406,               0.009406,               0.009406
                      9,                0.55142,                0.36829,                 0.9584,                0.98622,                0.96716,                0.97364,                0.86073,                0.56591,                0.40056,                0.94077,               0.009307,               0.009307,               0.009307
                     10,                 0.5403,                0.36891,                0.96129,                 0.9573,                0.94827,                0.96617,                0.85485,                0.56235,                0.39162,                0.95935,               0.009208,               0.009208,               0.009208
                     11,                0.54057,                0.35046,                0.95576,                0.97193,                 0.9541,                0.96879,                0.83772,                0.63117,                 0.4047,                0.97186,               0.009109,               0.009109,               0.009109
                     12,                0.53344,                0.34896,                0.94799,                0.97866,                0.95227,                0.96861,                0.85251,                0.55655,                0.38143,                0.94774,                0.00901,                0.00901,                0.00901
                     13,                0.53278,                  0.351,                0.94785,                0.97905,                0.94498,                0.96613,                0.84694,                0.58945,                0.40346,                0.96409,               0.008911,               0.008911,               0.008911
                     14,                0.52933,                0.35851,                0.94923,                0.97474,                0.93556,                0.96519,                0.85565,                0.57617,                 0.4037,                 0.9647,               0.008812,               0.008812,               0.008812
                     15,                 0.5191,                0.35432,                0.94907,                0.97741,                0.90541,                0.96087,                0.84844,                 0.5975,                0.42928,                0.98132,               0.008713,               0.008713,               0.008713
                     16,                0.51875,                0.34122,                0.94677,                0.98573,                0.95822,                0.97127,                0.85748,                0.56042,                0.38591,                0.94071,               0.008614,               0.008614,               0.008614
                     17,                0.51494,                0.33796,                 0.9406,                0.98592,                0.96558,                0.97461,                0.85427,                0.59286,                 0.3794,                0.95328,               0.008515,               0.008515,               0.008515
                     18,                0.52698,                0.34988,                0.94875,                0.97055,                0.94707,                0.96169,                0.85072,                0.58014,                0.39923,                0.96425,               0.008416,               0.008416,               0.008416
                     19,                0.51922,                0.35722,                0.95087,                 0.9722,                0.91517,                0.96228,                0.85585,                0.57213,                0.37938,                0.96995,               0.008317,               0.008317,               0.008317
                     20,                0.51052,                0.33594,                 0.9418,                 0.9542,                0.93242,                0.96155,                0.85834,                 0.5634,                 0.3789,                0.96185,               0.008218,               0.008218,               0.008218
                     21,                0.51165,                0.34784,                0.94372,                0.99162,                 0.9466,                0.96385,                 0.8483,                0.56227,                0.40664,                0.95016,               0.008119,               0.008119,               0.008119
                     22,                0.51078,                0.34297,                0.94199,                0.96581,                0.95367,                0.96575,                 0.8593,                0.57638,                0.35377,                0.95733,                0.00802,                0.00802,                0.00802
                     23,                0.49374,                0.32775,                0.93607,                0.98857,                0.94525,                0.96715,                0.85671,                0.56297,                0.37558,                0.94733,               0.007921,               0.007921,               0.007921
                     24,                0.50049,                0.32248,                0.92898,                0.98946,                0.95975,                0.97571,                0.86746,                 0.5629,                0.34371,                0.93793,               0.007822,               0.007822,               0.007822
                     25,                0.50701,                0.32294,                0.93559,                0.96655,                0.94303,                0.96551,                0.86027,                0.57548,                0.36301,                0.96235,               0.007723,               0.007723,               0.007723
                     26,                0.50326,                0.33319,                0.93683,                0.97884,                0.96369,                0.96964,                0.86621,                0.54234,                0.35753,                0.93671,               0.007624,               0.007624,               0.007624
                     27,                 0.5019,                0.34189,                0.93854,                0.96525,                0.94559,                0.96753,                0.86775,                0.54939,                0.37549,                0.94553,               0.007525,               0.007525,               0.007525
                     28,                  0.493,                0.33871,                 0.9323,                0.98646,                0.96432,                0.97504,                0.86674,                0.54108,                0.35777,                0.93219,               0.007426,               0.007426,               0.007426
                     29,                0.49196,                0.32819,                0.93339,                0.97092,                 0.9396,                0.96694,                0.86884,                0.54334,                0.34177,                0.94083,               0.007327,               0.007327,               0.007327
                     30,                0.48612,                0.32486,                0.93394,                0.98592,                0.96039,                0.97366,                0.86257,                0.55854,                0.35066,                0.93505,               0.007228,               0.007228,               0.007228
                     31,                0.48611,                0.33323,                0.93019,                0.98665,                0.96267,                 0.9716,                0.86323,                0.55234,                0.35949,                0.93971,               0.007129,               0.007129,               0.007129
                     32,                0.49038,                  0.323,                0.93245,                0.95708,                0.94526,                0.96419,                0.85932,                0.55935,                0.36731,                0.95706,                0.00703,                0.00703,                0.00703
                     33,                 0.4838,                0.31486,                0.92832,                0.95053,                0.93008,                0.95991,                0.86039,                0.55606,                0.36613,                0.95605,               0.006931,               0.006931,               0.006931
                     34,                0.48593,                0.32158,                 0.9315,                0.96704,                0.95386,                 0.9638,                 0.8544,                0.56706,                 0.3536,                 0.9581,               0.006832,               0.006832,               0.006832
                     35,                0.46765,                0.31661,                0.92421,                0.95755,                0.94281,                  0.962,                0.85504,                0.57202,                0.36746,                0.95687,               0.006733,               0.006733,               0.006733
                     36,                0.48068,                0.31945,                0.92752,                 0.9575,                0.92952,                0.96397,                0.86114,                0.55457,                0.36439,                0.95299,               0.006634,               0.006634,               0.006634
