                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3113,                 1.2687,                 1.5468,                      0,                      0,                      0,                      0,                 5.3129,                 4554.8,                 8.5153,                    0.1,               0.032804,               0.032804
                      2,                 1.2801,                  1.146,                 1.5471,                0.13785,                0.61191,                 0.1601,                0.06798,                 2.3047,                    inf,                 5.5914,               0.099345,               0.065483,               0.065483
                      3,                   1.25,                 1.1424,                 1.5598,                0.40101,                 0.7253,                0.35156,                0.18762,                 1.6749,                 58.172,                 5.3605,                0.09803,               0.097501,               0.097501
                      4,                 1.2386,                 1.0688,                 1.5416,                 0.5034,                0.40148,                0.34862,                0.21156,                 1.5826,                 6.0712,                 3.3529,                0.09703,                0.09703,                0.09703
                      5,                 1.1508,                0.95105,                 1.4736,                0.66598,                0.60733,                0.65464,                0.43412,                  1.367,                 7.0701,                  2.401,                0.09703,                0.09703,                0.09703
                      6,                 1.0721,                0.84626,                 1.4091,                0.92205,                0.77343,                0.87726,                0.65966,                0.95664,                  2.277,                 1.5586,                0.09604,                0.09604,                0.09604
                      7,                 1.0552,                0.78484,                 1.3984,                0.81748,                0.79196,                0.85041,                 0.5438,                 1.3209,                 2.2317,                 1.8051,                0.09505,                0.09505,                0.09505
                      8,                0.94847,                0.76848,                 1.3184,                 0.7685,                0.63094,                0.66948,                0.48591,                 1.0792,                 2.0134,                 1.5019,                0.09406,                0.09406,                0.09406
                      9,                0.97429,                0.75594,                 1.3224,                 0.8099,                0.74538,                0.83025,                0.59025,                   1.14,                 1.1302,                 1.6048,                0.09307,                0.09307,                0.09307
                     10,                 0.9695,                0.73861,                 1.3253,                0.73479,                0.78159,                0.90224,                0.66171,                0.95587,                 1.1577,                 1.4293,                0.09208,                0.09208,                0.09208
                     11,                0.92838,                0.70011,                  1.294,                0.86915,                0.78173,                0.84029,                0.63021,                0.94408,                0.93564,                 1.3795,                0.09109,                0.09109,                0.09109
                     12,                 0.8747,                0.67676,                 1.2642,                 0.7362,                0.67602,                0.72824,                0.53712,                 1.0426,                 1.6316,                 1.4266,                 0.0901,                 0.0901,                 0.0901
                     13,                0.88776,                 0.6655,                 1.2721,                0.88824,                0.76581,                0.89915,                0.69748,                0.87955,                0.82783,                 1.2977,                0.08911,                0.08911,                0.08911
                     14,                0.85179,                0.62719,                 1.2457,                0.83078,                0.81499,                0.81651,                0.60353,                0.97517,                0.95793,                 1.4035,                0.08812,                0.08812,                0.08812
                     15,                0.87412,                0.62541,                 1.2531,                0.92131,                0.85808,                0.91639,                0.71929,                0.88757,                0.65767,                 1.2608,                0.08713,                0.08713,                0.08713
                     16,                  0.837,                0.59997,                 1.2296,                0.86161,                0.83791,                0.90988,                0.73358,                0.77496,                0.75059,                 1.1828,                0.08614,                0.08614,                0.08614
                     17,                0.85884,                0.60736,                 1.2339,                0.82997,                0.82957,                0.89799,                0.69814,                  0.825,                0.78602,                 1.2107,                0.08515,                0.08515,                0.08515
                     18,                0.84701,                0.59729,                 1.2293,                0.96653,                 0.8934,                0.93812,                0.74606,                0.80318,                0.62871,                 1.2169,                0.08416,                0.08416,                0.08416
                     19,                 0.8223,                0.59165,                 1.2254,                0.94126,                0.88802,                0.91603,                 0.7229,                0.83301,                0.68259,                   1.26,                0.08317,                0.08317,                0.08317
                     20,                0.79411,                0.56892,                 1.1875,                  0.945,                0.89443,                0.94559,                0.78303,                0.71447,                0.62315,                 1.1169,                0.08218,                0.08218,                0.08218
                     21,                0.79777,                0.57198,                 1.1973,                0.94277,                 0.8071,                0.88635,                0.69934,                0.88878,                0.71221,                 1.2762,                0.08119,                0.08119,                0.08119
                     22,                0.79497,                0.56996,                  1.196,                0.96009,                0.91291,                 0.9607,                 0.7656,                0.78197,                0.63758,                 1.1916,                 0.0802,                 0.0802,                 0.0802
                     23,                0.76918,                0.54115,                 1.1824,                 0.9496,                0.83009,                0.90002,                0.71215,                0.83103,                0.69433,                 1.1976,                0.07921,                0.07921,                0.07921
                     24,                0.80031,                0.55318,                 1.1879,                 0.8169,                0.82813,                0.83042,                0.66668,                0.85081,                0.76547,                 1.2295,                0.07822,                0.07822,                0.07822
