                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3268,                 1.2349,                 1.5298,                0.00092,                0.10156,                0.00073,                0.00014,                 3.8494,                    nan,                 2399.3,                    0.1,               0.032804,               0.032804
                      2,                 1.2196,                   1.07,                 1.4609,                 0.1603,                0.57258,                0.11757,                 0.0545,                 1.9809,                 43.405,                  9.011,               0.099345,               0.065483,               0.065483
                      3,                 1.1075,                0.94065,                 1.3872,                0.33431,                 0.5489,                0.31834,                0.16285,                 1.6363,                 33.864,                 3.7542,                0.09803,               0.097501,               0.097501
                      4,                  1.054,                0.88717,                 1.3383,                0.67508,                 0.8552,                0.84421,                0.56681,                  1.131,                  5.018,                 1.9009,                0.09703,                0.09703,                0.09703
                      5,                0.99871,                0.82191,                 1.2978,                0.34331,                0.31319,                0.19914,                0.11595,                 2.5453,                 10.307,                 2.9833,                0.09703,                0.09703,                0.09703
                      6,                0.95424,                0.76356,                 1.2751,                0.65779,                0.78122,                0.74078,                0.48696,                 1.0778,                 3.9096,                 1.3721,                0.09604,                0.09604,                0.09604
                      7,                0.92448,                0.70447,                 1.2501,                0.87341,                0.84504,                0.86609,                0.65958,                0.98082,                 0.9533,                 1.3148,                0.09505,                0.09505,                0.09505
                      8,                 0.9423,                0.72249,                 1.2742,                0.81591,                0.83375,                 0.8904,                0.64479,                0.92503,                 1.0159,                 1.2461,                0.09406,                0.09406,                0.09406
                      9,                0.89756,                0.67492,                 1.2321,                0.89964,                  0.884,                0.94183,                0.70835,                0.89954,                0.77005,                 1.2578,                0.09307,                0.09307,                0.09307
                     10,                0.91407,                0.68368,                 1.2533,                0.82291,                0.81866,                0.87607,                0.64835,                 0.9506,                0.94674,                 1.2578,                0.09208,                0.09208,                0.09208
                     11,                0.91535,                0.68448,                 1.2512,                0.78829,                0.82332,                0.84106,                0.63904,                0.91619,                 1.1629,                 1.2886,                0.09109,                0.09109,                0.09109
                     12,                0.89573,                0.67178,                 1.2431,                0.89449,                0.89756,                0.93373,                0.73079,                0.82067,                0.70604,                  1.175,                 0.0901,                 0.0901,                 0.0901
                     13,                0.87622,                 0.6591,                 1.2303,                0.77111,                0.74822,                 0.7854,                0.60743,                0.91558,                 1.0031,                 1.2769,                0.08911,                0.08911,                0.08911
                     14,                0.83551,                0.63069,                 1.2131,                0.95538,                0.84964,                0.92331,                0.74262,                0.79196,                 0.6924,                 1.1807,                0.08812,                0.08812,                0.08812
                     15,                0.84071,                0.61844,                 1.2124,                0.82812,                0.90395,                0.91204,                0.71369,                0.83608,                0.82732,                 1.2078,                0.08713,                0.08713,                0.08713
                     16,                0.81624,                0.59102,                 1.1984,                0.89797,                0.85804,                 0.9003,                0.70143,                0.86232,                0.71312,                 1.2881,                0.08614,                0.08614,                0.08614
                     17,                0.81754,                0.58876,                 1.1924,                 0.8506,                 0.8818,                0.89787,                0.67892,                0.91107,                 0.8313,                 1.2796,                0.08515,                0.08515,                0.08515
                     18,                0.86106,                0.61221,                 1.2156,                0.92142,                0.87186,                0.93342,                0.72581,                0.88103,                0.62097,                 1.2786,                0.08416,                0.08416,                0.08416
                     19,                0.84159,                 0.6017,                 1.2227,                0.90115,                0.91348,                0.95596,                0.76046,                0.77444,                0.59282,                 1.1933,                0.08317,                0.08317,                0.08317
                     20,                0.79548,                0.56671,                 1.1725,                0.94303,                0.87363,                0.96076,                0.79441,                0.73531,                 0.5639,                 1.1379,                0.08218,                0.08218,                0.08218
                     21,                0.80146,                0.58357,                  1.192,                0.81589,                0.73971,                0.82662,                0.62197,                 0.9511,                0.97314,                 1.3599,                0.08119,                0.08119,                0.08119
                     22,                0.78283,                0.56321,                 1.1687,                 0.8949,                0.83509,                0.85322,                 0.6909,                0.78806,                0.70836,                 1.1686,                 0.0802,                 0.0802,                 0.0802
                     23,                0.78578,                0.57173,                  1.175,                0.86167,                  0.832,                0.87481,                0.68557,                 0.8758,                0.77009,                  1.261,                0.07921,                0.07921,                0.07921
                     24,                0.80132,                0.56579,                   1.17,                0.90559,                0.88981,                0.93306,                0.73007,                0.83035,                0.62864,                 1.2186,                0.07822,                0.07822,                0.07822
                     25,                0.78739,                0.55345,                 1.1716,                0.85188,                0.83476,                0.88526,                0.69771,                0.78236,                0.79255,                 1.1788,                0.07723,                0.07723,                0.07723
                     26,                0.77646,                0.54897,                 1.1648,                0.94289,                0.87084,                0.93225,                0.74854,                0.77542,                0.61499,                 1.1701,                0.07624,                0.07624,                0.07624
                     27,                0.78734,                0.55834,                 1.1678,                0.88845,                0.87873,                0.91586,                0.72417,                0.82504,                0.64492,                 1.2031,                0.07525,                0.07525,                0.07525
                     28,                0.76077,                0.52507,                 1.1461,                   0.87,                0.84389,                0.87696,                0.72054,                0.79065,                0.67761,                 1.2095,                0.07426,                0.07426,                0.07426
