                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74102,                0.55784,                 1.0586,                0.06823,                0.09751,                 0.0665,                0.02972,                 2.5148,                 3.7401,                 2.6212,                    0.1,               0.032804,               0.032804
                      2,                 1.1382,                 1.0601,                 1.3254,                0.76945,                0.13901,                0.34478,                0.14576,                 2.0142,                 33.754,                  2.327,               0.099345,               0.065483,               0.065483
                      3,                 1.4022,                 2.1091,                 1.5084,                0.25184,                0.00789,                 0.0004,                0.00011,                 4.6574,                 7.0261,                 5.2566,                0.09803,               0.097501,               0.097501
                      4,                 1.4457,                 1.6832,                 1.5784,                0.26293,                0.51507,                0.33285,                0.18862,                 1.4684,                 5.0918,                 3.1146,                0.09703,                0.09703,                0.09703
                      5,                  1.188,                  1.177,                  1.403,                0.15271,                0.36829,                0.16883,                0.07863,                 2.1817,                 6.0609,                 3.2784,                0.09703,                0.09703,                0.09703
                      6,                  1.021,                0.87987,                 1.2854,                 0.2778,                0.53681,                0.27965,                0.17393,                 1.3248,                 3.3021,                 2.0641,                0.09604,                0.09604,                0.09604
                      7,                0.93593,                0.70605,                 1.2278,                0.36365,                0.56249,                0.38979,                 0.2842,                 1.0572,                 2.0759,                 1.5834,                0.09505,                0.09505,                0.09505
                      8,                0.84575,                0.62729,                  1.166,                0.57951,                0.73378,                0.58688,                 0.4432,                0.89861,                 1.4272,                 1.2574,                0.09406,                0.09406,                0.09406
                      9,                 0.8108,                0.59824,                 1.1419,                0.69304,                0.84262,                0.80672,                 0.6054,                0.86775,                 1.0964,                 1.1972,                0.09307,                0.09307,                0.09307
                     10,                0.78663,                0.57105,                  1.136,                0.73392,                0.81924,                0.83051,                0.60299,                0.85373,                 1.0424,                 1.1893,                0.09208,                0.09208,                0.09208
                     11,                0.76376,                0.53961,                 1.1152,                 0.7558,                0.88249,                0.76536,                0.58937,                0.84952,                0.92926,                 1.2092,                0.09109,                0.09109,                0.09109
