                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63446,                0.43773,                  1.013,                0.90786,                0.88125,                0.92781,                0.76878,                0.74349,                0.67292,                 1.0704,               0.070476,              0.0032804,              0.0032804
                      2,                0.75875,                0.52662,                 1.0947,                0.90408,                0.87574,                0.93029,                0.70982,                0.88022,                0.74874,                 1.1484,               0.040411,              0.0065483,              0.0065483
                      3,                0.84764,                0.59999,                 1.1521,                0.94603,                0.85139,                0.92004,                0.73773,                0.81554,                 0.7559,                   1.16,               0.010279,              0.0097501,              0.0097501
                      4,                0.78765,                0.57918,                 1.1226,                0.72696,                0.83776,                0.83881,                0.66268,                0.88568,                 1.1462,                 1.1944,               0.009703,               0.009703,               0.009703
                      5,                 0.8001,                0.57668,                  1.131,                0.88602,                0.81871,                0.87284,                 0.6813,                0.92138,                0.79496,                 1.3075,               0.009703,               0.009703,               0.009703
                      6,                0.79052,                0.55977,                 1.1232,                0.88789,                0.79525,                 0.8878,                 0.7081,                0.79451,                0.80121,                 1.1158,               0.009604,               0.009604,               0.009604
                      7,                0.74845,                0.53041,                 1.0988,                 0.8988,                0.91538,                0.96293,                0.76372,                0.80124,                0.62971,                  1.069,               0.009505,               0.009505,               0.009505
                      8,                0.73732,                0.51214,                 1.0879,                0.95572,                0.94972,                0.96343,                0.79514,                0.69596,                0.52144,                 1.0473,               0.009406,               0.009406,               0.009406
                      9,                0.72481,                0.50443,                 1.0941,                0.84423,                0.77787,                0.86619,                0.69045,                0.82364,                0.82384,                 1.1502,               0.009307,               0.009307,               0.009307
                     10,                0.72301,                0.50268,                 1.0882,                0.93933,                 0.8598,                 0.9327,                0.75798,                 0.7823,                0.58904,                 1.0804,               0.009208,               0.009208,               0.009208
                     11,                 0.7189,                0.49013,                 1.0842,                0.86756,                0.83185,                0.90594,                  0.714,                0.82836,                0.72468,                  1.154,               0.009109,               0.009109,               0.009109
                     12,                0.71504,                0.49923,                 1.0798,                0.94943,                0.90915,                0.95863,                0.78272,                0.75654,                 0.5588,                 1.0844,                0.00901,                0.00901,                0.00901
                     13,                0.68335,                0.46897,                 1.0681,                0.93232,                0.87444,                0.93758,                0.75473,                0.72818,                0.57238,                 1.0783,               0.008911,               0.008911,               0.008911
                     14,                0.67035,                 0.4676,                 1.0657,                0.95558,                0.92609,                0.95958,                0.79599,                0.69883,                0.55037,                 1.0726,               0.008812,               0.008812,               0.008812
                     15,                0.65971,                0.46852,                 1.0571,                0.95968,                0.85177,                0.92558,                0.77611,                0.68893,                0.55954,                 1.0695,               0.008713,               0.008713,               0.008713
                     16,                0.65107,                0.46395,                 1.0514,                0.93478,                0.82737,                0.89273,                0.73819,                0.73077,                0.58884,                 1.1188,               0.008614,               0.008614,               0.008614
                     17,                0.65063,                0.44429,                 1.0416,                0.94581,                0.86227,                0.91743,                0.79376,                0.67558,                0.53421,                 1.0394,               0.008515,               0.008515,               0.008515
                     18,                0.67154,                0.44734,                 1.0529,                0.92284,                0.94745,                0.95777,                0.78463,                0.76165,                0.49271,                 1.1016,               0.008416,               0.008416,               0.008416
                     19,                0.65327,                0.44816,                 1.0506,                0.97242,                0.93152,                0.96119,                0.79928,                0.68108,                0.56853,                 1.0725,               0.008317,               0.008317,               0.008317
                     20,                0.64652,                0.42812,                 1.0394,                0.97032,                0.96103,                0.97121,                0.83598,                0.62988,                0.44915,                 1.0294,               0.008218,               0.008218,               0.008218
                     21,                0.64598,                0.43249,                 1.0378,                0.88007,                0.91184,                0.94211,                 0.7853,                 0.6682,                 0.5343,                 1.0452,               0.008119,               0.008119,               0.008119
                     22,                0.64174,                 0.4302,                 1.0383,                0.96862,                0.88915,                0.95395,                 0.8043,                 0.7095,                0.48684,                 1.0607,                0.00802,                0.00802,                0.00802
                     23,                0.61437,                0.41835,                 1.0283,                0.89874,                0.83135,                0.88796,                0.73573,                0.75068,                0.56181,                 1.1072,               0.007921,               0.007921,               0.007921
                     24,                0.62183,                0.41205,                 1.0195,                0.98068,                0.94463,                0.97117,                0.82173,                0.67716,                 0.4443,                 1.0293,               0.007822,               0.007822,               0.007822
                     25,                0.62406,                0.41223,                 1.0238,                0.91314,                0.93129,                0.96031,                0.81565,                 0.6534,                0.48627,                 1.0219,               0.007723,               0.007723,               0.007723
                     26,                 0.6126,                0.40131,                 1.0198,                0.92582,                0.95561,                0.96994,                0.81569,                0.66146,                 0.4538,                 1.0291,               0.007624,               0.007624,               0.007624
                     27,                0.60842,                0.40447,                   1.02,                0.97189,                0.94779,                0.97333,                0.83227,                0.64512,                0.44431,                 1.0283,               0.007525,               0.007525,               0.007525
                     28,                0.59528,                0.39988,                 1.0045,                0.90489,                0.90798,                0.95047,                0.80229,                0.68151,                0.52163,                  1.044,               0.007426,               0.007426,               0.007426
                     29,                0.61156,                0.40217,                  1.017,                0.96608,                0.95815,                0.97121,                0.82423,                0.63731,                0.44755,                 1.0196,               0.007327,               0.007327,               0.007327
                     30,                0.59037,                0.38934,                 1.0112,                0.97188,                0.91694,                0.97009,                0.83175,                0.62462,                0.47841,                 1.0365,               0.007228,               0.007228,               0.007228
                     31,                0.58133,                0.39531,                 1.0025,                0.92812,                0.90495,                0.95298,                0.81056,                0.62903,                0.48832,                 1.0251,               0.007129,               0.007129,               0.007129
                     32,                0.59058,                0.39396,                 1.0067,                0.93423,                0.84776,                0.93651,                0.79341,                0.66905,                0.47707,                 1.0555,                0.00703,                0.00703,                0.00703
                     33,                0.58394,                0.38173,                 1.0045,                0.96088,                0.95399,                0.97185,                 0.8289,                 0.6257,                0.43701,                 1.0224,               0.006931,               0.006931,               0.006931
                     34,                0.58198,                0.38136,                 1.0026,                0.86799,                0.87571,                0.90402,                0.76564,                0.68066,                0.50692,                 1.0642,               0.006832,               0.006832,               0.006832
                     35,                0.57229,                0.37549,                0.99917,                0.87757,                0.89811,                0.91904,                0.78324,                0.65157,                0.52034,                 1.0438,               0.006733,               0.006733,               0.006733
                     36,                0.57678,                0.38519,                 1.0036,                0.83482,                0.87142,                0.90753,                0.77494,                 0.6868,                0.54659,                 1.0618,               0.006634,               0.006634,               0.006634
                     37,                0.58081,                0.37992,                 1.0077,                0.97232,                0.91325,                0.96375,                0.83267,                0.58711,                 0.4181,                0.99446,               0.006535,               0.006535,               0.006535
                     38,                0.56423,                0.37937,                0.98803,                0.90182,                0.92958,                 0.9563,                0.83273,                0.60735,                0.45641,                0.99839,               0.006436,               0.006436,               0.006436
                     39,                0.55026,                0.37471,                0.98987,                0.94869,                0.92758,                0.95695,                0.83725,                0.58539,                0.42154,                0.98741,               0.006337,               0.006337,               0.006337
                     40,                0.53697,                0.35543,                0.97582,                0.89966,                0.92784,                0.96265,                0.84528,                0.58281,                0.42701,                0.98596,               0.006238,               0.006238,               0.006238
                     41,                 0.5521,                0.36614,                0.98591,                0.93768,                0.89471,                0.93666,                0.81342,                0.58867,                0.44791,                0.98992,               0.006139,               0.006139,               0.006139
                     42,                0.55528,                0.35942,                0.98668,                0.89996,                0.93385,                0.93779,                 0.8231,                0.58088,                0.43344,                0.98946,                0.00604,                0.00604,                0.00604
                     43,                   0.55,                0.35811,                0.98601,                  0.983,                0.96055,                0.96924,                0.85515,                0.56079,                0.36884,                0.97705,               0.005941,               0.005941,               0.005941
                     44,                 0.5489,                0.35929,                0.98484,                0.92703,                0.91519,                 0.9533,                0.82496,                0.61593,                0.44684,                 1.0132,               0.005842,               0.005842,               0.005842
                     45,                0.56534,                0.37127,                0.99136,                0.95299,                0.93955,                0.96142,                 0.8339,                0.60178,                0.42186,                 1.0068,               0.005743,               0.005743,               0.005743
                     46,                0.53952,                0.35392,                0.98576,                0.95065,                0.89972,                0.96354,                0.82833,                0.61181,                0.44239,                 1.0215,               0.005644,               0.005644,               0.005644
                     47,                0.54347,                0.35614,                0.98467,                0.96223,                0.96503,                0.96533,                0.84047,                0.59897,                0.38966,                0.99884,               0.005545,               0.005545,               0.005545
                     48,                  0.528,                0.34685,                0.97629,                0.88055,                 0.9317,                0.94396,                0.81466,                0.63347,                0.42534,                 1.0075,               0.005446,               0.005446,               0.005446
                     49,                0.54585,                0.35626,                0.99015,                0.98187,                0.92123,                0.96211,                 0.8341,                   0.62,                0.40745,                 1.0214,               0.005347,               0.005347,               0.005347
                     50,                0.53191,                0.34835,                0.97436,                0.88898,                0.90629,                0.94626,                0.81394,                0.64545,                0.44114,                  1.035,               0.005248,               0.005248,               0.005248
                     51,                0.52718,                0.34629,                0.97665,                0.98459,                0.96571,                0.97798,                0.86626,                0.53877,                0.35561,                0.96024,               0.005149,               0.005149,               0.005149
                     52,                0.52109,                0.33913,                0.96372,                0.95773,                0.93686,                0.96888,                0.85804,                0.57179,                0.40624,                0.99084,                0.00505,                0.00505,                0.00505
                     53,                0.52681,                0.34169,                0.97131,                0.86328,                0.92558,                0.91918,                0.79542,                0.63888,                0.44034,                 1.0204,               0.004951,               0.004951,               0.004951
                     54,                0.50528,                0.32608,                0.95767,                0.98361,                0.95299,                0.97828,                0.85948,                0.56371,                0.36818,                0.97613,               0.004852,               0.004852,               0.004852
                     55,                0.52135,                 0.3406,                0.96413,                0.94842,                0.95274,                0.96498,                0.84385,                0.57515,                0.37492,                0.97953,               0.004753,               0.004753,               0.004753
                     56,                0.52365,                0.33477,                0.96744,                0.88947,                0.92057,                0.93294,                0.81133,                0.64035,                0.42164,                 1.0262,               0.004654,               0.004654,               0.004654
                     57,                0.51979,                0.33692,                0.96876,                 0.9198,                0.93305,                0.95833,                0.82678,                0.60812,                0.43997,                 1.0122,               0.004555,               0.004555,               0.004555
                     58,                 0.5096,                0.32995,                0.96361,                0.96708,                0.96102,                0.97268,                 0.8449,                0.57562,                0.37503,                0.97789,               0.004456,               0.004456,               0.004456
                     59,                0.51066,                0.32837,                0.96409,                0.96124,                0.95041,                0.97179,                0.86038,                0.55882,                0.38453,                0.97455,               0.004357,               0.004357,               0.004357
                     60,                0.50949,                0.33238,                0.96908,                0.94166,                0.91061,                0.96532,                 0.8402,                0.58055,                0.40922,                0.99934,               0.004258,               0.004258,               0.004258
                     61,                0.50244,                0.32207,                0.96248,                0.92283,                0.92754,                0.95673,                0.84221,                0.59294,                0.41622,                 1.0064,               0.004159,               0.004159,               0.004159
                     62,                0.51759,                0.32604,                0.96652,                0.96732,                0.94445,                0.97781,                0.86453,                0.55523,                0.36307,                0.98462,                0.00406,                0.00406,                0.00406
                     63,                0.49476,                0.32109,                0.95829,                0.94787,                0.96168,                0.97091,                0.84838,                0.58215,                0.38297,                0.99557,               0.003961,               0.003961,               0.003961
                     64,                0.50927,                0.32163,                0.97038,                0.91439,                0.92542,                0.95572,                0.83394,                0.58724,                0.40655,                0.99446,               0.003862,               0.003862,               0.003862
                     65,                0.50195,                0.31887,                0.95822,                0.95241,                0.95843,                0.97244,                0.85211,                0.58248,                0.38485,                0.99492,               0.003763,               0.003763,               0.003763
                     66,                0.49482,                0.32041,                0.95502,                0.91558,                0.95471,                0.95921,                0.85687,                0.55269,                0.37938,                0.98052,               0.003664,               0.003664,               0.003664
                     67,                0.48412,                0.30906,                0.95229,                0.89843,                0.86728,                 0.9298,                0.81152,                0.60938,                 0.4407,                 1.0295,               0.003565,               0.003565,               0.003565
                     68,                0.48837,                0.31495,                 0.9439,                0.87847,                 0.8932,                 0.9268,                0.81117,                0.60691,                0.44258,                 1.0247,               0.003466,               0.003466,               0.003466
                     69,                0.49348,                 0.3172,                0.95117,                0.91014,                0.92145,                0.95258,                0.83868,                0.59459,                0.38849,                 1.0022,               0.003367,               0.003367,               0.003367
                     70,                0.48004,                0.30756,                0.94796,                0.92164,                0.94069,                0.95686,                0.84184,                0.57718,                0.39142,                0.99198,               0.003268,               0.003268,               0.003268
                     71,                0.48376,                0.30899,                0.94658,                0.90076,                  0.921,                0.94943,                0.83789,                0.57845,                0.42161,                  1.003,               0.003169,               0.003169,               0.003169
