                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.46885,                0.30787,                0.92791,                0.94925,                0.93787,                0.96174,                0.86494,                0.54149,                0.36322,                0.93657,               0.070476,              0.0032804,              0.0032804
                      2,                0.52234,                0.35132,                0.93874,                 0.9698,                0.91301,                0.95491,                0.82751,                0.60544,                0.43015,                0.97393,               0.040411,              0.0065483,              0.0065483
                      3,                0.57355,                0.38687,                0.96264,                0.96225,                0.95081,                0.97526,                0.83619,                0.61452,                0.43655,                0.97669,               0.010279,              0.0097501,              0.0097501
                      4,                0.59385,                0.39482,                0.97963,                0.96566,                 0.9274,                0.96966,                0.79121,                 0.7857,                0.47094,                   1.04,               0.009703,               0.009703,               0.009703
                      5,                0.60658,                0.38657,                0.97694,                0.95534,                0.95303,                0.96529,                0.83447,                0.63442,                0.40339,                  0.988,               0.009703,               0.009703,               0.009703
                      6,                0.59637,                0.39549,                0.98059,                0.92093,                0.91866,                0.94667,                0.80102,                0.65406,                0.73026,                 1.0461,               0.009604,               0.009604,               0.009604
                      7,                0.58336,                  0.378,                0.97733,                 0.9625,                0.92752,                0.95547,                0.82324,                0.64909,                 0.4413,                 1.0099,               0.009505,               0.009505,               0.009505
                      8,                0.57133,                0.37464,                0.96372,                0.93938,                0.90214,                0.93664,                0.81491,                0.61478,                 0.4981,                0.98359,               0.009406,               0.009406,               0.009406
                      9,                0.58027,                0.37798,                0.97101,                0.97178,                0.93564,                0.96004,                 0.8311,                0.64327,                0.43766,                0.99494,               0.009307,               0.009307,               0.009307
                     10,                0.56774,                0.37835,                0.97407,                0.88984,                0.89662,                0.94327,                0.81701,                0.61771,                0.46362,                0.97483,               0.009208,               0.009208,               0.009208
                     11,                0.56115,                0.37272,                0.97086,                 0.9501,                0.91263,                0.95881,                0.80867,                 0.7077,                0.43856,                 1.0385,               0.009109,               0.009109,               0.009109
                     12,                0.55968,                0.36714,                0.96676,                0.93992,                0.93027,                0.95482,                0.82456,                0.62047,                 0.4331,                 0.9818,                0.00901,                0.00901,                0.00901
                     13,                0.55761,                0.36125,                0.96451,                0.94856,                0.95833,                0.96798,                0.82394,                0.63101,                0.43344,                0.96737,               0.008911,               0.008911,               0.008911
                     14,                0.55058,                0.36517,                0.96394,                0.97874,                0.93047,                0.96719,                0.81793,                0.64309,                0.42811,                0.98153,               0.008812,               0.008812,               0.008812
                     15,                0.54123,                 0.3595,                0.96381,                0.90437,                0.92743,                0.95554,                0.82716,                0.60661,                0.41524,                0.97206,               0.008713,               0.008713,               0.008713
                     16,                0.54896,                 0.3509,                0.95871,                0.97131,                0.92503,                0.96397,                 0.8309,                 0.6409,                0.40867,                0.99135,               0.008614,               0.008614,               0.008614
                     17,                0.53849,                0.35206,                 0.9521,                0.95201,                0.95924,                0.97404,                0.83269,                0.63084,                0.41303,                0.97149,               0.008515,               0.008515,               0.008515
                     18,                0.55015,                0.35336,                  0.965,                0.97003,                0.95419,                0.97238,                0.85499,                0.59787,                0.38807,                0.95673,               0.008416,               0.008416,               0.008416
                     19,                0.53657,                0.35227,                0.96068,                 0.9757,                  0.948,                0.96936,                 0.8398,                0.59127,                0.38385,                0.94919,               0.008317,               0.008317,               0.008317
                     20,                0.52628,                0.33957,                 0.9487,                0.98119,                0.94745,                0.96846,                0.85045,                0.59193,                 0.3674,                 0.9563,               0.008218,               0.008218,               0.008218
                     21,                0.53327,                0.35444,                0.95616,                0.96193,                0.94101,                0.96034,                0.82622,                0.62433,                0.38511,                0.97706,               0.008119,               0.008119,               0.008119
