                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50993,                0.33444,                0.94868,                 0.9796,                 0.8945,                0.95444,                0.84212,                0.57199,                0.40996,                0.95037,               0.067524,             0.00032804,             0.00032804
                      2,                0.51681,                0.32695,                0.94633,                0.98431,                0.95081,                0.97772,                0.85943,                0.56122,                0.34489,                0.92543,               0.034517,             0.00065483,             0.00065483
                      3,                0.52203,                0.33052,                0.94987,                0.95354,                0.93766,                0.96577,                0.84789,                0.61069,                0.40644,                0.95789,              0.0015041,             0.00097501,             0.00097501
                      4,                 0.5302,                0.34101,                0.95511,                0.97739,                0.95973,                0.97299,                0.84665,                0.58448,                0.38566,                0.94603,              0.0009703,              0.0009703,              0.0009703
                      5,                0.50867,                0.33105,                0.94811,                0.96666,                0.94126,                0.97033,                0.85209,                0.57318,                0.39499,                0.94551,              0.0009703,              0.0009703,              0.0009703
                      6,                0.50752,                0.33014,                 0.9463,                0.97132,                0.95367,                0.97243,                0.85712,                0.56202,                0.36953,                0.92809,              0.0009604,              0.0009604,              0.0009604
                      7,                0.50512,                0.32261,                0.94182,                0.98253,                0.96518,                0.97919,                0.86585,                0.56458,                0.34729,                0.93983,              0.0009505,              0.0009505,              0.0009505
                      8,                0.49348,                0.31251,                0.93522,                0.97216,                0.95979,                0.97803,                0.85095,                0.59169,                0.34995,                0.94337,              0.0009406,              0.0009406,              0.0009406
                      9,                0.49884,                0.31417,                 0.9442,                0.99012,                 0.9544,                0.97462,                0.86353,                0.55475,                0.35292,                0.92971,              0.0009307,              0.0009307,              0.0009307
                     10,                0.49219,                0.31644,                0.94672,                0.97117,                0.93668,                0.96926,                0.86001,                0.56839,                0.36586,                0.93109,              0.0009208,              0.0009208,              0.0009208
                     11,                0.49669,                0.31648,                0.94394,                0.98359,                0.93973,                0.97148,                0.85186,                0.59819,                0.36214,                0.95352,              0.0009109,              0.0009109,              0.0009109
                     12,                0.48919,                0.31961,                0.93943,                0.98722,                0.96173,                 0.9768,                0.85244,                0.58972,                0.34218,                0.95516,               0.000901,               0.000901,               0.000901
                     13,                0.48635,                0.31381,                0.93812,                0.96965,                 0.9594,                0.97229,                0.84369,                0.60722,                0.36383,                0.95442,              0.0008911,              0.0008911,              0.0008911
                     14,                0.48545,                0.31506,                0.93998,                0.97503,                0.93159,                0.96873,                0.85807,                0.56556,                0.36944,                0.93618,              0.0008812,              0.0008812,              0.0008812
                     15,                0.47118,                0.31024,                0.93434,                0.95539,                 0.9494,                0.97497,                0.86231,                0.55547,                0.36162,                0.93241,              0.0008713,              0.0008713,              0.0008713
                     16,                0.46908,                0.30767,                0.93161,                 0.9735,                0.95779,                0.97744,                0.86932,                0.55536,                0.35346,                0.93676,              0.0008614,              0.0008614,              0.0008614
                     17,                0.46906,                0.30316,                0.92855,                0.98011,                0.96834,                0.98029,                0.86625,                0.57915,                0.35747,                0.95093,              0.0008515,              0.0008515,              0.0008515
                     18,                0.49414,                0.31175,                  0.939,                0.98838,                0.96463,                0.97685,                0.86413,                 0.5649,                0.34198,                0.93661,              0.0008416,              0.0008416,              0.0008416
                     19,                0.48547,                0.30944,                0.93933,                0.96977,                0.94231,                0.97403,                0.86553,                0.55705,                0.34493,                0.93245,              0.0008317,              0.0008317,              0.0008317
                     20,                0.46877,                0.29397,                0.92622,                0.98039,                0.93718,                0.97197,                0.86067,                0.55464,                0.36351,                0.93352,              0.0008218,              0.0008218,              0.0008218
                     21,                0.47329,                0.30321,                0.93455,                0.98668,                0.96179,                0.97757,                0.86671,                0.55326,                 0.3342,                0.92968,              0.0008119,              0.0008119,              0.0008119
                     22,                0.48134,                0.30472,                0.93171,                0.97274,                0.93668,                0.96925,                0.86419,                0.55727,                0.34142,                0.93661,               0.000802,               0.000802,               0.000802
                     23,                 0.4685,                0.29612,                0.93053,                0.98247,                 0.9681,                0.97642,                0.85788,                0.57558,                0.33781,                0.94022,              0.0007921,              0.0007921,              0.0007921
                     24,                 0.4691,                0.29461,                0.92317,                0.98811,                0.95984,                0.98045,                0.86829,                0.58394,                0.33501,                0.95001,              0.0007822,              0.0007822,              0.0007822
                     25,                0.48151,                0.30134,                0.93169,                0.98542,                0.94859,                0.97968,                0.87903,                0.54091,                 0.3256,                0.92487,              0.0007723,              0.0007723,              0.0007723
                     26,                0.47155,                0.29864,                0.92915,                0.97264,                0.93909,                0.97552,                0.86444,                0.55923,                0.34018,                0.92899,              0.0007624,              0.0007624,              0.0007624
                     27,                0.47163,                 0.2976,                0.92847,                0.98456,                0.93889,                0.97104,                0.86882,                0.56234,                0.34668,                0.94655,              0.0007525,              0.0007525,              0.0007525
                     28,                0.46374,                 0.2956,                0.92052,                0.97627,                0.93969,                0.96471,                 0.8593,                0.57153,                0.35869,                0.94775,              0.0007426,              0.0007426,              0.0007426
                     29,                0.45918,                0.28875,                0.92076,                0.98565,                0.94676,                0.97433,                 0.8597,                0.56532,                0.35365,                0.93511,              0.0007327,              0.0007327,              0.0007327
                     30,                0.45653,                0.28796,                0.92394,                0.98619,                0.95953,                0.97654,                0.87432,                0.53754,                0.32211,                 0.9285,              0.0007228,              0.0007228,              0.0007228
                     31,                0.45485,                0.29079,                0.91684,                0.97931,                0.95291,                0.97371,                0.86417,                0.58582,                0.34004,                0.94619,              0.0007129,              0.0007129,              0.0007129
                     32,                0.46405,                0.29566,                0.92192,                0.97938,                 0.9462,                0.97093,                0.85765,                0.57011,                0.32688,                 0.9406,               0.000703,               0.000703,               0.000703
                     33,                0.45844,                0.28898,                0.92343,                0.98292,                0.94755,                0.97464,                0.86972,                0.56262,                0.33422,                0.94106,              0.0006931,              0.0006931,              0.0006931
                     34,                0.45621,                0.29065,                0.92471,                0.97306,                0.96145,                0.97614,                0.87285,                0.55624,                0.31902,                0.94161,              0.0006832,              0.0006832,              0.0006832
                     35,                0.44251,                0.28393,                0.91513,                0.98024,                0.92924,                0.97237,                0.87031,                0.54428,                0.32074,                0.93263,              0.0006733,              0.0006733,              0.0006733
                     36,                0.46048,                0.29287,                0.92223,                0.98103,                0.96462,                0.97815,                0.86045,                0.56245,                0.32243,                0.93494,              0.0006634,              0.0006634,              0.0006634
                     37,                0.44999,                0.28326,                0.91756,                0.98345,                0.97024,                0.97966,                0.87167,                0.55672,                0.32625,                 0.9218,              0.0006535,              0.0006535,              0.0006535
                     38,                0.44651,                0.28438,                0.91096,                0.97899,                0.96727,                0.97808,                0.87421,                0.53886,                0.33608,                0.92391,              0.0006436,              0.0006436,              0.0006436
                     39,                0.44264,                0.28469,                0.91769,                 0.9686,                0.96783,                0.98146,                0.87328,                0.54363,                0.33473,                0.92672,              0.0006337,              0.0006337,              0.0006337
                     40,                0.44109,                0.28215,                0.91354,                0.97953,                0.92261,                0.97671,                0.86495,                0.56321,                 0.3482,                 0.9361,              0.0006238,              0.0006238,              0.0006238
                     41,                0.44095,                0.28519,                 0.9117,                 0.9703,                0.96799,                0.97674,                  0.874,                0.53812,                0.32942,                0.92285,              0.0006139,              0.0006139,              0.0006139
                     42,                0.44242,                0.28188,                0.91199,                0.96044,                0.94946,                0.97062,                0.85673,                 0.5672,                0.35756,                0.93614,               0.000604,               0.000604,               0.000604
                     43,                0.44213,                0.28207,                0.91107,                0.98237,                0.96151,                0.97854,                0.87312,                0.53635,                0.33199,                0.92565,              0.0005941,              0.0005941,              0.0005941
                     44,                0.44941,                0.28442,                0.91595,                0.97971,                0.95557,                0.97436,                  0.869,                 0.5391,                0.33995,                0.92498,              0.0005842,              0.0005842,              0.0005842
                     45,                0.44432,                 0.2819,                0.91623,                0.98733,                0.96757,                0.97778,                0.87648,                0.53871,                0.32514,                0.92356,              0.0005743,              0.0005743,              0.0005743
                     46,                0.43387,                0.27612,                0.91602,                0.99014,                 0.9668,                0.97844,                0.87434,                 0.5313,                0.31782,                0.91429,              0.0005644,              0.0005644,              0.0005644
                     47,                0.44347,                0.27373,                0.91638,                0.98628,                0.96909,                0.97707,                0.87234,                0.54396,                0.32951,                0.92731,              0.0005545,              0.0005545,              0.0005545
                     48,                0.42619,                   0.27,                0.90922,                0.97664,                0.96752,                 0.9786,                  0.882,                0.52721,                0.31697,                0.91603,              0.0005446,              0.0005446,              0.0005446
                     49,                0.43693,                0.27832,                0.91549,                0.98446,                0.95896,                 0.9771,                0.87678,                0.53375,                0.31343,                0.91233,              0.0005347,              0.0005347,              0.0005347
                     50,                0.43672,                0.27962,                0.91059,                0.98223,                0.95589,                0.97829,                0.87112,                0.55625,                0.32007,                0.92253,              0.0005248,              0.0005248,              0.0005248
                     51,                0.44152,                   0.28,                0.91254,                0.97289,                0.95109,                0.97515,                0.86946,                0.54303,                 0.3244,                0.92067,              0.0005149,              0.0005149,              0.0005149
                     52,                0.43003,                 0.2775,                0.90343,                0.97488,                  0.947,                0.97732,                0.86657,                0.54908,                0.33132,                0.92763,               0.000505,               0.000505,               0.000505
                     53,                0.43519,                0.27535,                0.91077,                0.98748,                0.96982,                0.98221,                0.87581,                0.53712,                 0.3059,                0.91615,              0.0004951,              0.0004951,              0.0004951
                     54,                0.42752,                0.27171,                0.90489,                0.98635,                0.96267,                0.97951,                0.87105,                0.54837,                0.30947,                0.91999,              0.0004852,              0.0004852,              0.0004852
                     55,                0.43268,                0.27525,                0.91061,                0.97287,                0.96222,                0.97971,                0.87312,                0.54351,                0.31162,                0.92189,              0.0004753,              0.0004753,              0.0004753
                     56,                0.43611,                0.27266,                  0.912,                0.96844,                0.93127,                0.97566,                0.86791,                0.56525,                0.33955,                0.93148,              0.0004654,              0.0004654,              0.0004654
                     57,                0.43431,                0.27156,                0.91185,                  0.969,                 0.9391,                0.96681,                0.87581,                  0.545,                0.33404,                0.93591,              0.0004555,              0.0004555,              0.0004555
                     58,                0.42551,                0.26789,                 0.9074,                0.98227,                0.94651,                0.97292,                0.88095,                0.53476,                0.30613,                0.92932,              0.0004456,              0.0004456,              0.0004456
                     59,                0.41726,                0.26566,                0.90212,                 0.9792,                0.95959,                0.97394,                0.87719,                0.52624,                0.31625,                0.91782,              0.0004357,              0.0004357,              0.0004357
                     60,                0.42042,                0.26787,                0.90851,                0.98782,                0.94883,                0.97327,                0.87998,                0.52101,                0.31421,                0.91593,              0.0004258,              0.0004258,              0.0004258
                     61,                0.42137,                0.26443,                0.90738,                0.97739,                0.96469,                0.97547,                0.87924,                0.51714,                0.30231,                0.91641,              0.0004159,              0.0004159,              0.0004159
                     62,                0.42478,                0.26356,                0.90674,                 0.9785,                0.94989,                0.97355,                0.88099,                0.51752,                0.31405,                0.91395,               0.000406,               0.000406,               0.000406
                     63,                0.41952,                0.26325,                0.90509,                0.98275,                0.93914,                0.97009,                0.87616,                0.52798,                0.32253,                0.92013,              0.0003961,              0.0003961,              0.0003961
                     64,                 0.4216,                0.26501,                0.90904,                0.97821,                0.94524,                0.97519,                0.87416,                0.53109,                0.31358,                0.92344,              0.0003862,              0.0003862,              0.0003862
                     65,                0.40979,                0.25796,                0.89766,                0.96327,                0.94149,                0.97062,                0.86909,                0.55036,                0.34036,                0.93596,              0.0003763,              0.0003763,              0.0003763
                     66,                0.41586,                0.26163,                0.90495,                 0.9895,                0.95739,                0.97488,                0.87837,                0.53812,                0.31487,                0.92748,              0.0003664,              0.0003664,              0.0003664
                     67,                 0.4077,                0.25859,                0.89904,                 0.9896,                0.96846,                0.97781,                0.88081,                0.53261,                 0.3079,                0.92443,              0.0003565,              0.0003565,              0.0003565
