                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71396,                0.51863,                  1.049,                0.68444,                0.65781,                 0.7346,                0.55819,                 0.9181,                 1.0939,                 1.2213,                    0.1,               0.032804,               0.032804
                      2,                 1.0629,                0.92113,                 1.2647,                0.71012,                0.18421,                0.13052,                0.07598,                 2.4545,                 3.7513,                  1.979,               0.099345,               0.065483,               0.065483
                      3,                 1.2598,                 1.3881,                 1.4079,                0.33606,                0.57057,                0.42586,                0.21248,                 1.8554,                 3.2842,                 1.7843,                0.09803,               0.097501,               0.097501
                      4,                 1.3643,                 1.4833,                 1.4882,                0.73934,                0.74182,                0.88507,                0.51503,                 1.5286,                 2.3164,                 1.6971,                0.09703,                0.09703,                0.09703
                      5,                  1.289,                 1.0823,                 1.4318,                0.81971,                0.67544,                0.81848,                0.55706,                 1.1108,                 1.7498,                 1.3298,                0.09703,                0.09703,                0.09703
                      6,                 1.2142,                0.89509,                 1.3825,                0.95839,                0.85411,                0.90817,                0.63243,                 1.1136,                0.91808,                 1.3671,                0.09604,                0.09604,                0.09604
                      7,                 1.1472,                0.77646,                 1.3169,                0.92634,                0.88667,                0.95693,                0.68485,                 1.0088,                0.86712,                  1.251,                0.09505,                0.09505,                0.09505
                      8,                 1.0928,                0.71184,                 1.2801,                  0.902,                0.76666,                0.87946,                 0.6308,                 1.1005,                0.90553,                 1.2792,                0.09406,                0.09406,                0.09406
                      9,                 1.0307,                0.74142,                  1.234,                0.94421,                0.86216,                0.91292,                0.70137,                0.89345,                0.74231,                 1.1275,                0.09307,                0.09307,                0.09307
                     10,                 1.0431,                 0.6435,                  1.243,                0.94225,                0.84894,                0.92933,                0.74849,                0.77633,                 0.7168,                 1.0663,                0.09208,                0.09208,                0.09208
                     11,                 0.9617,                0.65906,                 1.1875,                 0.9611,                0.91811,                0.95254,                0.73994,                0.84961,                0.67845,                 1.1025,                0.09109,                0.09109,                0.09109
                     12,                 0.9724,                0.61581,                 1.1891,                0.91594,                0.85413,                0.89837,                0.70383,                0.94006,                0.68515,                 1.1785,                 0.0901,                 0.0901,                 0.0901
                     13,                0.90968,                0.60084,                  1.159,                0.91113,                0.86836,                0.93331,                0.75815,                0.75463,                0.70525,                 1.0429,                0.08911,                0.08911,                0.08911
                     14,                0.91177,                0.59007,                 1.1482,                0.98346,                0.90366,                0.95997,                0.74463,                0.90428,                0.62982,                 1.1221,                0.08812,                0.08812,                0.08812
                     15,                0.83945,                0.59947,                 1.1158,                0.94307,                0.87837,                 0.9579,                0.73176,                0.82628,                0.75018,                 1.1433,                0.08713,                0.08713,                0.08713
                     16,                0.86319,                 0.5511,                 1.1244,                0.97252,                0.91831,                 0.9599,                0.78383,                0.76795,                0.56374,                 1.0515,                0.08614,                0.08614,                0.08614
                     17,                0.88251,                0.51936,                 1.1257,                0.98455,                0.93658,                0.97174,                0.77274,                0.78213,                0.51469,                 1.0649,                0.08515,                0.08515,                0.08515
                     18,                0.84154,                0.52591,                 1.1078,                0.96087,                0.92729,                0.96228,                0.77135,                0.77321,                0.56554,                 1.0826,                0.08416,                0.08416,                0.08416
                     19,                 0.8397,                0.50674,                 1.1103,                0.97186,                0.90364,                0.94964,                 0.7707,                0.74741,                0.53944,                 1.0856,                0.08317,                0.08317,                0.08317
                     20,                0.82127,                0.49417,                  1.095,                 0.9727,                0.94027,                0.96307,                 0.7726,                0.78576,                0.54352,                 1.0761,                0.08218,                0.08218,                0.08218
                     21,                 0.7988,                0.50391,                 1.0816,                0.97918,                 0.9523,                0.97012,                0.76748,                0.81369,                0.51752,                 1.0965,                0.08119,                0.08119,                0.08119
                     22,                0.77579,                0.48406,                 1.0711,                0.97181,                0.94351,                0.96005,                0.77461,                0.79463,                0.53129,                 1.0795,                 0.0802,                 0.0802,                 0.0802
                     23,                0.77313,                0.47131,                 1.0704,                0.88128,                0.90558,                0.94471,                0.76124,                0.81606,                0.57654,                 1.0981,                0.07921,                0.07921,                0.07921
                     24,                0.73969,                0.46697,                 1.0547,                 0.9574,                0.93509,                0.96654,                0.80899,                 0.6783,                0.52958,                 1.0151,                0.07822,                0.07822,                0.07822
                     25,                0.75332,                 0.4712,                 1.0674,                0.98335,                0.94247,                0.96523,                0.79949,                0.72535,                0.48516,                 1.0399,                0.07723,                0.07723,                0.07723
                     26,                0.74572,                0.45567,                 1.0534,                0.97747,                0.95276,                0.96684,                 0.8031,                0.70866,                0.47389,                  1.034,                0.07624,                0.07624,                0.07624
                     27,                0.72826,                0.45615,                 1.0516,                0.97284,                0.95481,                0.96142,                0.78493,                0.76739,                  0.485,                 1.0645,                0.07525,                0.07525,                0.07525
                     28,                0.72155,                0.44344,                 1.0372,                0.97634,                0.96061,                0.97148,                0.80706,                0.68191,                0.45734,                 1.0148,                0.07426,                0.07426,                0.07426
                     29,                0.70268,                0.44755,                 1.0351,                0.97679,                0.96047,                0.97093,                0.82709,                0.64268,                0.44421,                0.98789,                0.07327,                0.07327,                0.07327
                     30,                0.69128,                0.45232,                 1.0234,                0.98238,                0.93569,                0.96103,                0.80334,                0.70423,                0.46044,                 1.0305,                0.07228,                0.07228,                0.07228
                     31,                0.69583,                0.43058,                 1.0287,                0.98495,                 0.9565,                0.97314,                  0.822,                0.65585,                 0.4775,                 1.0052,                0.07129,                0.07129,                0.07129
                     32,                0.68871,                0.42666,                 1.0248,                0.96843,                0.93742,                0.96409,                0.81603,                0.67625,                 0.4638,                 1.0335,                 0.0703,                 0.0703,                 0.0703
                     33,                0.67896,                0.41585,                 1.0214,                0.96196,                 0.9306,                0.96421,                0.81496,                0.67616,                0.46793,                 1.0267,                0.06931,                0.06931,                0.06931
                     34,                0.68274,                0.41238,                 1.0179,                0.96173,                0.95403,                0.96665,                0.82533,                0.65822,                0.42259,                 1.0084,                0.06832,                0.06832,                0.06832
                     35,                0.64791,                0.40327,                 1.0066,                0.96772,                0.93724,                 0.9642,                0.82543,                0.67594,                0.46538,                 1.0155,                0.06733,                0.06733,                0.06733
                     36,                0.66163,                0.41259,                 1.0107,                0.98262,                0.94918,                0.96689,                0.82185,                0.62677,                0.43864,                0.99392,                0.06634,                0.06634,                0.06634
                     37,                0.64268,                0.40199,                 1.0061,                0.98069,                 0.9463,                0.96635,                0.83014,                0.63781,                 0.4282,                0.99267,                0.06535,                0.06535,                0.06535
                     38,                0.63405,                0.40115,                0.99546,                 0.9717,                0.93144,                0.96761,                 0.8064,                0.70331,                0.45964,                 1.0234,                0.06436,                0.06436,                0.06436
                     39,                0.62118,                0.40206,                0.99884,                0.98213,                0.93823,                0.96267,                0.82394,                0.64424,                0.42892,                 1.0009,                0.06337,                0.06337,                0.06337
                     40,                0.62845,                0.38482,                0.99345,                0.97435,                0.89339,                0.95674,                0.81592,                0.68588,                 0.4646,                 1.0061,                0.06238,                0.06238,                0.06238
                     41,                0.62062,                0.38649,                0.99002,                0.97725,                0.94194,                0.96072,                 0.8162,                0.62579,                0.44972,                 1.0006,                0.06139,                0.06139,                0.06139
                     42,                0.61979,                 0.3878,                0.98771,                0.96838,                0.94561,                 0.9641,                0.83895,                0.61196,                0.41374,                0.98515,                 0.0604,                 0.0604,                 0.0604
                     43,                0.60989,                 0.3798,                0.98508,                0.98425,                 0.9399,                0.96837,                0.84571,                0.60042,                0.40381,                0.97264,                0.05941,                0.05941,                0.05941
                     44,                0.60216,                0.38517,                0.98286,                0.97828,                 0.9086,                0.95667,                0.83261,                0.62395,                0.43448,                0.97698,                0.05842,                0.05842,                0.05842
                     45,                0.60478,                0.37807,                0.98551,                0.95617,                0.92225,                0.95395,                0.83623,                0.60519,                0.40631,                0.97546,                0.05743,                0.05743,                0.05743
                     46,                0.58594,                 0.3762,                0.98207,                0.93927,                0.92939,                0.95708,                0.83228,                  0.616,                0.42352,                0.98995,                0.05644,                0.05644,                0.05644
                     47,                0.58598,                0.36134,                0.97832,                0.97625,                0.92923,                0.97296,                0.83553,                0.64217,                0.45001,                0.99205,                0.05545,                0.05545,                0.05545
                     48,                 0.5676,                 0.3634,                0.97181,                0.98047,                0.93751,                0.97122,                0.84145,                0.59658,                0.39376,                0.97449,                0.05446,                0.05446,                0.05446
                     49,                 0.5756,                0.36026,                 0.9736,                0.98173,                 0.9092,                0.95701,                0.83288,                0.64084,                0.44457,                0.99767,                0.05347,                0.05347,                0.05347
                     50,                0.56187,                0.36668,                0.96951,                 0.9817,                0.95722,                0.97003,                0.84126,                0.61081,                0.39758,                0.97495,                0.05248,                0.05248,                0.05248
                     51,                0.55927,                0.36684,                0.96591,                0.97347,                0.94482,                0.97134,                0.84369,                 0.6094,                0.39655,                0.97611,                0.05149,                0.05149,                0.05149
                     52,                0.56891,                0.35469,                0.96059,                  0.977,                0.90258,                0.96271,                0.83459,                0.60157,                0.41501,                0.97398,                 0.0505,                 0.0505,                 0.0505
                     53,                0.56326,                0.35082,                 0.9646,                0.97483,                0.89599,                0.96107,                0.82533,                0.63653,                0.43085,                0.99233,                0.04951,                0.04951,                0.04951
                     54,                0.54865,                0.35251,                0.95334,                0.97698,                0.92043,                0.96641,                0.84537,                0.60462,                 0.4173,                0.98091,                0.04852,                0.04852,                0.04852
                     55,                0.54827,                0.34822,                0.95697,                0.97467,                0.89073,                0.95916,                0.82852,                0.63218,                0.43834,                 0.9914,                0.04753,                0.04753,                0.04753
                     56,                0.55479,                0.35032,                0.95916,                0.96312,                0.81363,                0.92174,                0.80922,                0.61849,                0.47963,                0.98443,                0.04654,                0.04654,                0.04654
                     57,                0.54234,                 0.3444,                0.95871,                0.97079,                0.92206,                0.95892,                0.83688,                0.60519,                0.40791,                0.96645,                0.04555,                0.04555,                0.04555
                     58,                 0.5316,                 0.3487,                0.95486,                0.97642,                0.93484,                0.96901,                0.85246,                0.57516,                0.41042,                0.96509,                0.04456,                0.04456,                0.04456
                     59,                0.52096,                0.33512,                 0.9458,                0.96802,                0.93831,                0.97223,                0.85021,                0.58532,                0.39477,                0.96886,                0.04357,                0.04357,                0.04357
                     60,                0.51862,                0.34206,                0.95164,                0.97919,                0.94277,                0.96703,                0.84518,                0.59042,                0.39392,                0.97315,                0.04258,                0.04258,                0.04258
                     61,                0.52006,                0.32753,                0.94845,                0.97912,                0.96307,                 0.9783,                0.85708,                0.57572,                0.37602,                0.95376,                0.04159,                0.04159,                0.04159
                     62,                0.52319,                0.32962,                0.94581,                0.96349,                0.94094,                0.97006,                0.85627,                 0.5826,                0.38691,                0.96085,                 0.0406,                 0.0406,                 0.0406
                     63,                0.51008,                0.32692,                0.94354,                0.98489,                0.93632,                0.96899,                0.85602,                0.57266,                0.36273,                0.96142,                0.03961,                0.03961,                0.03961
                     64,                0.51239,                0.32302,                0.94602,                0.97493,                 0.9498,                0.96958,                0.85759,                0.56333,                0.35467,                 0.9519,                0.03862,                0.03862,                0.03862
                     65,                  0.501,                0.32017,                0.93384,                0.96603,                0.95136,                0.96763,                0.85486,                 0.5757,                0.37259,                0.95999,                0.03763,                0.03763,                0.03763
                     66,                0.50047,                0.32283,                 0.9384,                0.98018,                0.95418,                0.97447,                0.86314,                0.55917,                0.36273,                0.95493,                0.03664,                0.03664,                0.03664
                     67,                0.48926,                0.31891,                 0.9351,                0.96509,                 0.9258,                0.96417,                0.84849,                0.57687,                0.40356,                0.96582,                0.03565,                0.03565,                0.03565
                     68,                0.48751,                0.31543,                0.92563,                0.97951,                0.93326,                0.96714,                0.85091,                0.57472,                 0.3785,                0.95953,                0.03466,                0.03466,                0.03466
                     69,                0.48407,                0.31921,                0.92888,                0.98566,                0.93616,                0.97129,                0.85987,                0.56033,                0.36222,                0.95288,                0.03367,                0.03367,                0.03367
                     70,                 0.4822,                0.31582,                0.93434,                 0.9835,                 0.9273,                0.95936,                0.85613,                0.57632,                  0.372,                0.95859,                0.03268,                0.03268,                0.03268
                     71,                0.48233,                0.31511,                0.93013,                 0.9803,                0.92331,                0.95269,                0.83398,                0.58192,                0.37556,                0.96337,                0.03169,                0.03169,                0.03169
                     72,                0.47235,                0.30412,                0.92619,                0.97413,                0.94592,                0.97046,                0.84293,                0.57671,                0.37445,                0.95735,                 0.0307,                 0.0307,                 0.0307
                     73,                0.46434,                0.30101,                0.91881,                 0.9869,                0.92353,                0.96291,                0.84623,                0.56983,                0.37016,                0.95345,                0.02971,                0.02971,                0.02971
                     74,                0.47116,                0.29952,                0.92615,                0.97458,                0.93193,                0.96851,                0.85695,                0.56578,                0.36835,                0.95257,                0.02872,                0.02872,                0.02872
                     75,                 0.4668,                0.30368,                0.93108,                0.98177,                0.92648,                 0.9675,                0.85339,                0.58011,                0.38039,                0.96644,                0.02773,                0.02773,                0.02773
                     76,                0.46621,                0.30467,                0.92137,                0.96489,                0.93662,                0.97323,                 0.8601,                0.55211,                 0.3658,                0.93765,                0.02674,                0.02674,                0.02674
                     77,                0.46128,                0.30194,                0.92001,                0.98024,                0.90806,                0.96124,                0.84776,                0.58703,                0.39846,                0.96589,                0.02575,                0.02575,                0.02575
                     78,                0.45852,                0.28931,                0.91797,                  0.978,                0.92755,                 0.9665,                0.86222,                0.55914,                0.36984,                0.95789,                0.02476,                0.02476,                0.02476
                     79,                0.44329,                 0.2875,                0.91365,                 0.9764,                0.94261,                0.97148,                0.86518,                0.55472,                0.35118,                0.94576,                0.02377,                0.02377,                0.02377
                     80,                0.45003,                0.29153,                0.91608,                0.97947,                0.93184,                0.96142,                0.85384,                0.57004,                0.35261,                0.96206,                0.02278,                0.02278,                0.02278
                     81,                0.44415,                0.28738,                0.91208,                0.98341,                0.93003,                 0.9646,                0.85802,                0.56199,                0.36352,                0.95378,                0.02179,                0.02179,                0.02179
                     82,                0.44958,                0.28795,                0.91864,                0.98437,                0.95437,                0.97543,                 0.8675,                0.54631,                0.33424,                0.94659,                 0.0208,                 0.0208,                 0.0208
                     83,                0.43584,                0.28357,                0.90821,                 0.9771,                0.94949,                0.97179,                0.85714,                0.55452,                0.34302,                0.94868,                0.01981,                0.01981,                0.01981
                     84,                0.43065,                0.28086,                0.90836,                0.96805,                0.91917,                0.96498,                0.85069,                0.57019,                0.37911,                0.96476,                0.01882,                0.01882,                0.01882
                     85,                0.42799,                0.27597,                0.90493,                0.96748,                0.92863,                0.96351,                0.85208,                0.55876,                0.36871,                0.94965,                0.01783,                0.01783,                0.01783
                     86,                0.42566,                0.27761,                0.90497,                0.96083,                 0.9263,                0.95715,                0.84352,                0.56109,                0.38163,                0.94912,                0.01684,                0.01684,                0.01684
                     87,                0.42751,                 0.2751,                 0.9077,                0.97671,                0.91929,                0.95716,                0.84742,                0.54651,                0.37847,                0.95089,                0.01585,                0.01585,                0.01585
                     88,                0.42713,                0.27288,                0.90735,                0.97491,                0.92029,                0.96292,                0.85381,                 0.5528,                0.35797,                0.95092,                0.01486,                0.01486,                0.01486
                     89,                0.41458,                0.26799,                0.90001,                0.93565,                0.93307,                0.95995,                0.85384,                0.55504,                 0.3735,                0.95448,                0.01387,                0.01387,                0.01387
