                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0178,                 2.5699,                 2.2113,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    0.1,               0.032804,               0.032804
                      2,                 2.2305,                  3.152,                 2.4834,                0.00163,                0.15823,                0.00192,                0.00045,                 2.6469,                    inf,                 21.733,               0.099345,               0.065483,               0.065483
                      3,                 2.0382,                 2.8478,                 2.3984,                 0.2554,                0.28169,                0.00521,                0.00188,                 3.1102,                    inf,                 11.892,                0.09803,               0.097501,               0.097501
                      4,                 2.0871,                 2.7681,                 2.3433,                0.25664,                0.17898,                0.00745,                0.00315,                 2.4275,                 6.2259,                 3.0175,                0.09703,                0.09703,                0.09703
                      5,                 1.8112,                 2.4317,                 2.1046,                0.45458,                 0.1026,                0.15701,                0.10499,                 1.4995,                 2.7568,                 1.8861,                0.09703,                0.09703,                0.09703
                      6,                 1.7572,                  2.215,                 2.0622,                0.68119,                0.28433,                0.25801,                0.10988,                  1.773,                 4.0138,                 2.9731,                0.09604,                0.09604,                0.09604
                      7,                 1.6567,                 2.0758,                 1.9396,                0.62396,                0.31739,                0.45472,                0.28539,                 1.6203,                 2.0214,                 1.8881,                0.09505,                0.09505,                0.09505
                      8,                 1.6061,                  1.901,                 1.8629,                0.30557,                0.35567,                0.30122,                0.18865,                 1.4678,                 2.7728,                 1.7865,                0.09406,                0.09406,                0.09406
                      9,                 1.5509,                 1.8108,                 1.8133,                0.31498,                0.31169,                0.26164,                0.11133,                  1.843,                 3.0363,                 2.1954,                0.09307,                0.09307,                0.09307
                     10,                 1.5387,                 1.8502,                 1.7991,                0.09432,                0.14197,                0.06259,                0.03202,                 2.0116,                 4.4176,                 2.3494,                0.09208,                0.09208,                0.09208
                     11,                 1.5794,                 1.7542,                 1.8403,                0.52004,                0.68239,                0.70986,                0.47976,                 1.2552,                 1.6126,                  1.589,                0.09109,                0.09109,                0.09109
