                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71444,                0.55653,                 1.0545,                0.06258,                0.11198,                0.04408,                0.02098,                 3.3752,                 5.6022,                 3.0489,                    0.1,               0.032804,               0.032804
                      2,                 1.1152,                0.94163,                 1.3042,                0.25066,                0.25708,                0.18292,                0.07352,                 2.8462,                 2.9958,                 2.8215,               0.099345,               0.065483,               0.065483
                      3,                 1.3468,                 1.7433,                 1.4738,                0.09234,                0.27416,                0.08798,                0.02955,                 2.7705,                 8.3294,                 3.4162,                0.09803,               0.097501,               0.097501
                      4,                 1.4705,                 1.6121,                 1.5243,                 0.5836,                0.14034,                0.07449,                0.03171,                 2.1637,                 7.5749,                 3.0797,                0.09703,                0.09703,                0.09703
                      5,                 1.1976,                 1.2433,                 1.3018,                0.33901,                0.44904,                 0.2979,                0.12096,                 2.3219,                  4.207,                 2.5139,                0.09703,                0.09703,                0.09703
                      6,                 1.1056,                0.85357,                 1.2632,                0.77677,                0.80735,                0.84581,                0.61729,                0.95139,                 0.9729,                 1.2225,                0.09604,                0.09604,                0.09604
                      7,                0.98573,                0.68239,                 1.1868,                0.90708,                0.89545,                 0.9276,                0.68433,                0.91684,                0.70649,                 1.1521,                0.09505,                0.09505,                0.09505
                      8,                0.90562,                 0.6149,                  1.135,                0.91168,                0.86774,                0.89902,                0.67393,                0.84663,                0.72491,                 1.0969,                0.09406,                0.09406,                0.09406
                      9,                0.85941,                0.58638,                 1.1137,                0.94498,                0.84997,                0.90868,                0.70718,                0.82246,                0.62764,                 1.1149,                0.09307,                0.09307,                0.09307
                     10,                0.83045,                0.56347,                 1.1081,                0.87204,                0.74948,                0.81523,                 0.6541,                0.83624,                0.84643,                  1.099,                0.09208,                0.09208,                0.09208
                     11,                 0.7736,                0.54452,                 1.0793,                0.92259,                0.89597,                0.93185,                0.72153,                0.81556,                0.58269,                 1.0408,                0.09109,                0.09109,                0.09109
                     12,                0.78223,                 0.5346,                 1.0775,                0.90042,                0.84019,                0.88368,                0.70128,                0.82295,                0.67451,                 1.1055,                 0.0901,                 0.0901,                 0.0901
                     13,                0.75971,                0.51985,                 1.0654,                0.91248,                0.85077,                 0.8987,                0.72104,                0.84733,                0.64902,                 1.0899,                0.08911,                0.08911,                0.08911
                     14,                0.72344,                0.49503,                 1.0547,                0.96285,                0.90461,                0.95413,                0.75129,                0.76029,                0.53334,                 1.0452,                0.08812,                0.08812,                0.08812
                     15,                0.71779,                 0.4855,                 1.0422,                0.95268,                 0.8731,                0.93831,                0.76628,                0.70303,                0.54688,                 1.0135,                0.08713,                0.08713,                0.08713
                     16,                0.71355,                0.47439,                 1.0421,                0.93501,                0.86572,                0.93974,                0.77654,                 0.7318,                0.54444,                 1.0447,                0.08614,                0.08614,                0.08614
                     17,                0.69451,                0.45363,                 1.0274,                0.97942,                0.94673,                0.97023,                0.80331,                0.70346,                0.45252,                 1.0141,                0.08515,                0.08515,                0.08515
                     18,                 0.6961,                0.45555,                 1.0357,                0.95388,                0.92549,                0.95045,                0.78185,                0.67791,                0.50247,                 1.0011,                0.08416,                0.08416,                0.08416
                     19,                0.67102,                0.46455,                  1.031,                0.97102,                0.93181,                0.96436,                0.78422,                0.70243,                 0.4609,                 1.0136,                0.08317,                0.08317,                0.08317
                     20,                0.66288,                0.43728,                 1.0138,                0.90259,                0.87181,                0.93015,                0.76999,                0.73019,                0.55312,                 1.0202,                0.08218,                0.08218,                0.08218
                     21,                0.66112,                0.43722,                 1.0158,                0.97147,                0.87854,                0.94398,                 0.7855,                0.69005,                0.49185,                 1.0215,                0.08119,                0.08119,                0.08119
                     22,                0.64957,                0.44193,                 1.0094,                0.96139,                0.94906,                0.96311,                 0.8014,                0.67222,                0.43429,                 1.0094,                 0.0802,                 0.0802,                 0.0802
