                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.44954,                0.28877,                0.92475,                0.97102,                0.94947,                0.97432,                0.87864,                0.53841,                0.33333,                0.92731,               0.067524,             0.00032804,             0.00032804
                      2,                0.43942,                0.27652,                0.91827,                 0.9841,                0.93479,                0.97109,                0.88034,                0.52583,                0.32578,                0.92583,               0.034517,             0.00065483,             0.00065483
                      3,                0.43568,                0.27673,                0.91517,                0.96717,                0.91935,                 0.9645,                0.86814,                0.53855,                0.34608,                0.93002,              0.0015041,             0.00097501,             0.00097501
                      4,                0.44256,                0.28602,                0.91645,                0.97431,                0.95483,                0.97321,                0.87739,                0.52827,                 0.3231,                0.91847,              0.0009703,              0.0009703,              0.0009703
                      5,                0.44095,                0.28551,                 0.9156,                0.98697,                0.97632,                0.97924,                0.87898,                0.52836,                0.31772,                0.92009,              0.0009703,              0.0009703,              0.0009703
                      6,                 0.4444,                0.28449,                0.92035,                0.98089,                0.94148,                0.97224,                0.87659,                0.52387,                0.32421,                0.92141,              0.0009604,              0.0009604,              0.0009604
                      7,                0.44891,                0.28548,                0.91768,                0.98079,                0.93623,                 0.9682,                0.87526,                0.53766,                0.32582,                0.93989,              0.0009505,              0.0009505,              0.0009505
                      8,                0.43558,                0.27915,                 0.9109,                0.98086,                0.95289,                0.97484,                0.87945,                0.51898,                0.31768,                0.91586,              0.0009406,              0.0009406,              0.0009406
                      9,                0.44168,                0.28116,                0.91693,                0.98055,                0.96206,                0.97539,                0.87773,                0.52397,                 0.3093,                0.91784,              0.0009307,              0.0009307,              0.0009307
                     10,                0.43951,                0.28289,                0.91899,                0.98993,                0.95249,                0.97317,                0.88095,                0.53129,                0.31999,                0.91882,              0.0009208,              0.0009208,              0.0009208
                     11,                 0.4371,                0.27848,                0.91615,                0.98472,                0.94626,                0.97249,                 0.8697,                0.53846,                0.33629,                0.92839,              0.0009109,              0.0009109,              0.0009109
                     12,                0.43186,                0.27962,                0.91113,                0.98857,                0.96162,                  0.977,                0.87721,                0.53926,                0.31064,                 0.9234,               0.000901,               0.000901,               0.000901
                     13,                0.43421,                0.27983,                0.91234,                0.98832,                0.94268,                0.96968,                0.86766,                0.54981,                0.33025,                0.93052,              0.0008911,              0.0008911,              0.0008911
                     14,                0.43169,                0.27913,                0.91342,                0.97336,                0.94449,                0.96768,                0.87147,                0.54086,                0.33145,                0.92682,              0.0008812,              0.0008812,              0.0008812
                     15,                0.43002,                0.27915,                0.91146,                0.98901,                0.94739,                0.96954,                0.86601,                0.54448,                0.32877,                0.93008,              0.0008713,              0.0008713,              0.0008713
                     16,                0.43077,                0.27713,                0.91153,                0.98361,                0.96178,                0.97655,                0.87742,                0.52406,                0.32077,                0.91451,              0.0008614,              0.0008614,              0.0008614
                     17,                0.42643,                0.27291,                0.90771,                0.97961,                0.94516,                0.96998,                0.87482,                 0.5416,                0.33542,                0.92501,              0.0008515,              0.0008515,              0.0008515
                     18,                 0.4437,                 0.2789,                0.91607,                0.96781,                0.92634,                0.96376,                0.86931,                0.56978,                0.35072,                0.95439,              0.0008416,              0.0008416,              0.0008416
                     19,                0.43768,                0.27778,                0.91789,                0.97143,                0.94324,                0.96652,                0.86756,                0.56307,                0.33225,                0.95391,              0.0008317,              0.0008317,              0.0008317
                     20,                0.42717,                0.27046,                0.90686,                0.98307,                0.93731,                0.96919,                0.87153,                 0.5306,                 0.3246,                0.92202,              0.0008218,              0.0008218,              0.0008218
                     21,                0.43493,                0.27847,                0.91332,                0.98204,                0.93503,                0.96806,                0.86579,                 0.5509,                 0.3343,                0.93311,              0.0008119,              0.0008119,              0.0008119
                     22,                0.43339,                0.27699,                0.90805,                0.98341,                0.93718,                0.97399,                 0.8793,                0.52175,                0.32317,                0.91949,               0.000802,               0.000802,               0.000802
                     23,                0.41836,                0.26818,                0.90659,                0.98516,                0.96147,                0.97741,                0.88362,                 0.5207,                0.31314,                0.91567,              0.0007921,              0.0007921,              0.0007921
                     24,                0.42113,                 0.2694,                0.90125,                0.98344,                0.94798,                0.97353,                0.88113,                0.52322,                0.32399,                0.92255,              0.0007822,              0.0007822,              0.0007822
                     25,                0.43445,                0.27449,                0.91054,                0.98978,                 0.9607,                0.97819,                0.88132,                 0.5208,                0.30676,                0.91919,              0.0007723,              0.0007723,              0.0007723
                     26,                0.42805,                0.27073,                 0.9095,                0.98859,                0.95572,                0.97409,                0.88236,                0.52436,                0.31554,                   0.92,              0.0007624,              0.0007624,              0.0007624
                     27,                0.43138,                0.27197,                0.91056,                0.98727,                0.94513,                0.97224,                0.87062,                0.53849,                0.33005,                0.92836,              0.0007525,              0.0007525,              0.0007525
